Event Name,Map Name,Team 1 Name,Team 2 Name,Team 1 Score,Team 2 Score,Team 1 Attacking Wins,Team 2 Attacking Wins,Team 1 Agents,Team 2 Agents
Champions Tour 2025: Masters Bangkok - Playoffs,Pearl,G2 Esports,T1,14,16,4,5,"Sova,Yoru,Astra,Chamber,Vyse","Sova,Killjoy,Yoru,Astra,Neon"
Champions Tour 2025: Masters Bangkok - Playoffs,Split,G2 Esports,T1,13,15,4,5,"Breach,Viper,Omen,Yoru,Tejo","Raze,Viper,Omen,Yoru,Fade"
Champions Tour 2025: Masters Bangkok - Playoffs,Abyss,G2 Esports,T1,13,11,9,8,"Breach,Sova,Yoru,Astra,Chamber","Reyna,Omen,Jett,Fade,Tejo"
Champions Tour 2025: Masters Bangkok - Playoffs,Haven,G2 Esports,T1,9,13,6,7,"Breach,Yoru,Astra,Vyse,Tejo","Cypher,Sova,Omen,Yoru,Iso"
Champions Tour 2025: Masters Bangkok - Playoffs,Lotus,G2 Esports,T1,13,5,8,1,"Breach,Viper,Omen,Yoru,Tejo","Raze,Cypher,Sova,Omen,Iso"
Champions Tour 2025: Masters Bangkok - Playoffs,Split,EDward Gaming,T1,5,13,5,6,"Breach,Viper,Omen,Jett,Tejo","Raze,Viper,Omen,Yoru,Fade"
Champions Tour 2025: Masters Bangkok - Playoffs,Fracture,EDward Gaming,T1,14,12,8,7,"Breach,Cypher,Brimstone,Neon,Tejo","Breach,Raze,Brimstone,Vyse,Tejo"
Champions Tour 2025: Masters Bangkok - Playoffs,Haven,EDward Gaming,T1,10,13,8,9,"Breach,Cypher,Omen,Jett,Tejo","Cypher,Sova,Omen,Yoru,Iso"
Champions Tour 2025: Masters Bangkok - Playoffs,Bind,EDward Gaming,T1,4,13,3,4,"Raze,Brimstone,KAY/O,Vyse,Tejo","Raze,Brimstone,KAY/O,Fade,Vyse"
Champions Tour 2025: Masters Bangkok - Playoffs,Split,T1,Team Vitality,13,5,4,3,"Raze,Viper,Omen,Yoru,Fade","Breach,Raze,Viper,Omen,Fade"
Champions Tour 2025: Masters Bangkok - Playoffs,Haven,T1,Team Vitality,13,4,5,4,"Cypher,Sova,Omen,Yoru,Iso","Cypher,Sova,Omen,Jett,Yoru"
Champions Tour 2025: Masters Bangkok - Playoffs,Lotus,T1,Team Vitality,12,14,8,9,"Raze,Cypher,Sova,Omen,Iso","Raze,Viper,Omen,Fade,Vyse"
Champions Tour 2025: Masters Bangkok - Playoffs,Split,EDward Gaming,G2 Esports,7,13,4,5,"Breach,Viper,Omen,Jett,Tejo","Breach,Viper,Omen,Yoru,Tejo"
Champions Tour 2025: Masters Bangkok - Playoffs,Lotus,EDward Gaming,G2 Esports,8,13,5,6,"Breach,Omen,Neon,Fade,Clove","Breach,Viper,Omen,Yoru,Tejo"
Champions Tour 2025: Masters Bangkok - Playoffs,Lotus,Team Vitality,G2 Esports,9,13,3,6,"Raze,Viper,Omen,Fade,Vyse","Breach,Viper,Omen,Yoru,Tejo"
Champions Tour 2025: Masters Bangkok - Playoffs,Bind,Team Vitality,G2 Esports,13,15,7,8,"Raze,Viper,Brimstone,Skye,Tejo","Breach,Brimstone,Yoru,Vyse,Tejo"
Champions Tour 2025: Masters Bangkok - Playoffs,Pearl,EDward Gaming,T1,13,11,6,5,"Yoru,Astra,Fade,Vyse,Tejo","Sova,Killjoy,Yoru,Astra,Neon"
Champions Tour 2025: Masters Bangkok - Playoffs,Bind,EDward Gaming,T1,6,13,5,6,"Raze,Brimstone,KAY/O,Vyse,Tejo","Raze,Brimstone,KAY/O,Fade,Vyse"
Champions Tour 2025: Masters Bangkok - Playoffs,Split,EDward Gaming,T1,13,7,10,5,"Breach,Viper,Omen,Jett,Tejo","Raze,Viper,Omen,Yoru,Fade"
Champions Tour 2025: Masters Bangkok - Swiss Stage,Lotus,G2 Esports,Team Liquid,13,7,6,1,"Breach,Viper,Omen,Yoru,Tejo","Breach,Cypher,Omen,Neon,Tejo"
Champions Tour 2025: Masters Bangkok - Swiss Stage,Haven,G2 Esports,Team Liquid,13,5,5,4,"Breach,Yoru,Astra,Vyse,Tejo","Breach,Cypher,Omen,Jett,Tejo"
Champions Tour 2025: Masters Bangkok - Swiss Stage,Pearl,T1,DRX,13,4,5,4,"Sova,Killjoy,Yoru,Astra,Neon","Yoru,Astra,Fade,Vyse,Tejo"
Champions Tour 2025: Masters Bangkok - Swiss Stage,Fracture,T1,DRX,13,11,8,7,"Breach,Raze,Brimstone,Vyse,Tejo","Breach,Cypher,Brimstone,Yoru,Tejo"
Champions Tour 2025: Masters Bangkok - Swiss Stage,Bind,Team Liquid,Sentinels,13,1,2,1,"Raze,Viper,Brimstone,Skye,Gekko","Raze,Viper,Brimstone,Skye,Tejo"
Champions Tour 2025: Masters Bangkok - Swiss Stage,Abyss,Team Liquid,Sentinels,16,14,6,5,"Cypher,Sova,Omen,Jett,KAY/O","Omen,Jett,Astra,KAY/O,Tejo"
Champions Tour 2025: Masters Bangkok - Swiss Stage,Lotus,Team Liquid,Sentinels,7,13,5,6,"Breach,Cypher,Omen,Yoru,Tejo","Raze,Viper,Omen,Fade,Vyse"
Champions Tour 2025: Masters Bangkok - Swiss Stage,Haven,T1,Trace Esports,13,8,7,6,"Cypher,Sova,Omen,Yoru,Iso","Breach,Cypher,Sova,Omen,Jett"
Champions Tour 2025: Masters Bangkok - Swiss Stage,Lotus,T1,Trace Esports,13,3,4,3,"Raze,Cypher,Sova,Omen,Iso","Raze,Viper,Omen,Fade,Vyse"
Champions Tour 2025: Masters Bangkok - Swiss Stage,Fracture,EDward Gaming,G2 Esports,13,4,2,1,"Breach,Cypher,Brimstone,Neon,Tejo","Breach,Raze,Brimstone,Vyse,Tejo"
Champions Tour 2025: Masters Bangkok - Swiss Stage,Bind,EDward Gaming,G2 Esports,13,8,5,4,"Raze,Brimstone,KAY/O,Vyse,Tejo","Raze,Viper,Brimstone,Skye,Tejo"
Champions Tour 2025: Masters Bangkok - Swiss Stage,Pearl,EDward Gaming,G2 Esports,16,18,8,9,"Yoru,Astra,Fade,Vyse,Tejo","Sova,Yoru,Astra,Chamber,Vyse"
Champions Tour 2025: Masters Bangkok - Swiss Stage,Split,DRX,Team Vitality,11,13,6,7,"Breach,Cypher,Omen,Yoru,Tejo","Breach,Raze,Viper,Omen,Fade"
Champions Tour 2025: Masters Bangkok - Swiss Stage,Abyss,DRX,Team Vitality,13,11,7,6,"Cypher,Sova,Omen,Yoru,Tejo","Breach,Sova,Jett,Astra,Tejo"
Champions Tour 2025: Masters Bangkok - Swiss Stage,Bind,DRX,Team Vitality,8,13,4,5,"Breach,Cypher,Brimstone,Yoru,Tejo","Raze,Viper,Brimstone,Skye,Tejo"
Champions Tour 2025: Masters Bangkok - Swiss Stage,Abyss,G2 Esports,Trace Esports,13,3,4,3,"Breach,Sova,Yoru,Astra,Chamber","Sova,Omen,Jett,Astra,KAY/O"
Champions Tour 2025: Masters Bangkok - Swiss Stage,Lotus,G2 Esports,Trace Esports,13,8,7,3,"Breach,Viper,Omen,Yoru,Tejo","Raze,Viper,Omen,Fade,Vyse"
Champions Tour 2025: Masters Bangkok - Swiss Stage,Bind,Team Vitality,T1,13,9,7,4,"Raze,Viper,Brimstone,Skye,Tejo","Raze,Brimstone,KAY/O,Fade,Vyse"
Champions Tour 2025: Masters Bangkok - Swiss Stage,Fracture,Team Vitality,T1,13,10,5,3,"Breach,Raze,Brimstone,Vyse,Tejo","Breach,Raze,Brimstone,Vyse,Tejo"
Champions Tour 2025: Masters Bangkok - Swiss Stage,Haven,DRX,Sentinels,13,10,7,6,"Breach,Cypher,Omen,Yoru,Tejo","Breach,Jett,Astra,Vyse,Tejo"
Champions Tour 2025: Masters Bangkok - Swiss Stage,Lotus,DRX,Sentinels,13,3,9,0,"Breach,Cypher,Omen,Yoru,Tejo","Raze,Viper,Omen,Fade,Vyse"
Champions Tour 2025: Masters Bangkok - Swiss Stage,Pearl,EDward Gaming,Team Liquid,13,6,7,1,"Yoru,Astra,Fade,Vyse,Tejo","Sova,Yoru,Astra,Chamber,Vyse"
Champions Tour 2025: Masters Bangkok - Swiss Stage,Split,EDward Gaming,Team Liquid,18,16,10,9,"Breach,Viper,Omen,Jett,Tejo","Raze,Viper,Yoru,Astra,Fade"
Champions Tour 2025: EMEA Kickoff - Main Event,Fracture,Team Vitality,Team Liquid,13,8,5,4,"Breach,Raze,Brimstone,Vyse,Tejo","Breach,Raze,Cypher,Brimstone,Tejo"
Champions Tour 2025: EMEA Kickoff - Main Event,Bind,Team Vitality,Team Liquid,13,7,7,2,"Raze,Viper,Brimstone,Skye,Tejo","Raze,Viper,Brimstone,Skye,Gekko"
Champions Tour 2025: EMEA Kickoff - Main Event,Lotus,Team Vitality,Team Liquid,13,6,10,4,"Raze,Viper,Omen,Fade,Vyse","Raze,Viper,Reyna,Fade,Clove"
Champions Tour 2025: EMEA Kickoff - Main Event,Haven,Team Vitality,Team Liquid,7,13,3,4,"Cypher,Sova,Omen,Yoru,Iso","Breach,Cypher,Omen,Jett,Tejo"
Champions Tour 2025: EMEA Kickoff - Main Event,Split,Team Vitality,Team Liquid,10,13,7,9,"Breach,Raze,Viper,Omen,Fade","Raze,Viper,Yoru,Astra,Fade"
Champions Tour 2025: Pacific Kickoff - Main Event,Split,DRX,T1,13,11,7,6,"Breach,Raze,Cypher,Omen,Tejo","Raze,Viper,Omen,Skye,Chamber"
Champions Tour 2025: Pacific Kickoff - Main Event,Bind,DRX,T1,12,14,7,8,"Raze,Viper,Brimstone,KAY/O,Tejo","Raze,Brimstone,KAY/O,Gekko,Vyse"
Champions Tour 2025: Pacific Kickoff - Main Event,Fracture,DRX,T1,13,9,5,4,"Breach,Raze,Brimstone,Vyse,Tejo","Breach,Raze,Cypher,Brimstone,Tejo"
Champions Tour 2025: Pacific Kickoff - Main Event,Lotus,DRX,T1,6,13,5,6,"Raze,Viper,Omen,Fade,Tejo","Raze,Cypher,Sova,Omen,Iso"
Champions Tour 2025: Pacific Kickoff - Main Event,Abyss,DRX,T1,13,3,3,2,"Cypher,Sova,Jett,Astra,Tejo","Breach,Cypher,Sova,Yoru,Astra"
Champions Tour 2025: Americas Kickoff - Main Event,Haven,G2 Esports,Sentinels,13,10,4,3,"Breach,Yoru,Astra,Vyse,Tejo","Cypher,Sova,Omen,Yoru,Iso"
Champions Tour 2025: Americas Kickoff - Main Event,Fracture,G2 Esports,Sentinels,13,5,8,1,"Breach,Raze,Brimstone,Vyse,Tejo","Breach,Brimstone,Yoru,Vyse,Tejo"
Champions Tour 2025: Americas Kickoff - Main Event,Abyss,G2 Esports,Sentinels,9,13,4,7,"Breach,Sova,Yoru,Astra,Chamber","Omen,Jett,Astra,KAY/O,Tejo"
Champions Tour 2025: Americas Kickoff - Main Event,Pearl,G2 Esports,Sentinels,13,8,7,6,"Sova,Yoru,Astra,Chamber,Vyse","Yoru,Astra,Fade,Vyse,Tejo"
Champions Tour 2025: Americas Kickoff - Main Event,Split,G2 Esports,Sentinels,4,13,3,4,"Breach,Viper,Yoru,Astra,Tejo","Breach,Viper,Omen,Yoru,Tejo"
Champions Tour 2025: EMEA Kickoff - Main Event,Fracture,Team Heretics,Team Liquid,7,13,3,8,"Raze,Cypher,Skye,Astra,Tejo","Breach,Raze,Cypher,Brimstone,Tejo"
Champions Tour 2025: EMEA Kickoff - Main Event,Abyss,Team Heretics,Team Liquid,4,13,4,5,"Sova,Yoru,Astra,Chamber,Tejo","Cypher,Sova,Omen,Jett,KAY/O"
Champions Tour 2025: EMEA Kickoff - Main Event,Lotus,Team Heretics,Team Liquid,4,13,3,4,"Raze,Killjoy,Omen,Astra,Fade","Raze,Viper,Reyna,Fade,Clove"
Champions Tour 2025: Pacific Kickoff - Main Event,Bind,T1,Gen.G Esports,13,10,9,7,"Raze,Brimstone,KAY/O,Gekko,Vyse","Raze,Viper,Brimstone,Fade,Gekko"
Champions Tour 2025: Pacific Kickoff - Main Event,Split,T1,Gen.G Esports,15,17,5,6,"Raze,Viper,Omen,Yoru,Fade","Breach,Raze,Cypher,Astra,Tejo"
Champions Tour 2025: Pacific Kickoff - Main Event,Haven,T1,Gen.G Esports,5,13,5,6,"Cypher,Sova,Omen,Yoru,Iso","Sova,Killjoy,Viper,Omen,Neon"
Champions Tour 2025: Pacific Kickoff - Main Event,Lotus,T1,Gen.G Esports,13,8,6,2,"Raze,Cypher,Sova,Omen,Iso","Raze,Killjoy,Viper,Omen,Fade"
Champions Tour 2025: Pacific Kickoff - Main Event,Pearl,T1,Gen.G Esports,13,8,8,4,"Sova,Killjoy,Yoru,Astra,Neon","Sova,Killjoy,Jett,Astra,KAY/O"
Champions Tour 2025: Americas Kickoff - Main Event,Split,Sentinels,MIBR,13,7,9,4,"Breach,Viper,Omen,Yoru,Tejo","Raze,Viper,Jett,Skye,Astra"
Champions Tour 2025: Americas Kickoff - Main Event,Pearl,Sentinels,MIBR,19,21,10,11,"Yoru,Astra,Fade,Vyse,Tejo","Sova,Killjoy,Jett,Astra,KAY/O"
Champions Tour 2025: Americas Kickoff - Main Event,Abyss,Sentinels,MIBR,13,5,9,2,"Sova,Omen,Jett,Astra,KAY/O","Cypher,Sova,Jett,Astra,KAY/O"
Champions Tour 2025: Americas Kickoff - Main Event,Lotus,Sentinels,MIBR,13,7,4,3,"Raze,Viper,Omen,Fade,Vyse","Breach,Raze,Cypher,Omen,Jett"
Champions Tour 2025: EMEA Kickoff - Main Event,Haven,FUT Esports,Team Liquid,4,13,4,5,"Breach,Cypher,Omen,Yoru,KAY/O","Breach,Cypher,Omen,Jett,Tejo"
Champions Tour 2025: EMEA Kickoff - Main Event,Bind,FUT Esports,Team Liquid,13,11,7,6,"Raze,Cypher,Viper,Omen,KAY/O","Raze,Viper,Brimstone,Skye,Gekko"
Champions Tour 2025: EMEA Kickoff - Main Event,Abyss,FUT Esports,Team Liquid,7,13,3,8,"Sova,Yoru,Astra,Fade,Vyse","Cypher,Sova,Omen,Jett,KAY/O"
Champions Tour 2025: EMEA Kickoff - Main Event,Abyss,Team Vitality,Team Heretics,13,1,11,0,"Breach,Sova,Jett,Astra,Tejo","Sova,Yoru,Astra,Chamber,Tejo"
Champions Tour 2025: EMEA Kickoff - Main Event,Haven,Team Vitality,Team Heretics,13,10,8,6,"Cypher,Sova,Omen,Yoru,Iso","Cypher,Sova,Omen,Yoru,Tejo"
Champions Tour 2025: Pacific Kickoff - Main Event,Lotus,TALON,Gen.G Esports,2,13,0,10,"Raze,Omen,Fade,Deadlock,Tejo","Raze,Killjoy,Viper,Omen,Fade"
Champions Tour 2025: Pacific Kickoff - Main Event,Bind,TALON,Gen.G Esports,7,13,5,6,"Raze,Astra,Fade,Gekko,Deadlock","Raze,Viper,Brimstone,Fade,Gekko"
Champions Tour 2025: Pacific Kickoff - Main Event,Fracture,T1,DRX,10,13,6,8,"Breach,Raze,Cypher,Brimstone,Tejo","Breach,Raze,Brimstone,Vyse,Tejo"
Champions Tour 2025: Pacific Kickoff - Main Event,Haven,T1,DRX,13,15,7,8,"Cypher,Sova,Omen,Yoru,Iso","Cypher,Sova,Omen,Jett,Tejo"
Champions Tour 2025: Pacific Kickoff - Main Event,Lotus,T1,DRX,13,11,5,4,"Raze,Cypher,Sova,Omen,Iso","Raze,Omen,Fade,Vyse,Tejo"
Champions Tour 2025: Americas Kickoff - Main Event,Split,MIBR,KRÜ Esports,13,11,8,7,"Raze,Viper,Jett,Skye,Astra","Raze,Cypher,Viper,Omen,Skye"
Champions Tour 2025: Americas Kickoff - Main Event,Abyss,MIBR,KRÜ Esports,13,8,5,4,"Cypher,Sova,Jett,Astra,KAY/O","Sova,Viper,Jett,Astra,KAY/O"
Champions Tour 2025: Americas Kickoff - Main Event,Bind,MIBR,KRÜ Esports,8,13,2,6,"Raze,Viper,Brimstone,Skye,Yoru","Raze,Viper,Brimstone,Skye,Vyse"
Champions Tour 2025: Americas Kickoff - Main Event,Pearl,Sentinels,G2 Esports,7,13,5,6,"Yoru,Astra,Fade,Vyse,Tejo","Sova,Yoru,Astra,Chamber,Vyse"
Champions Tour 2025: Americas Kickoff - Main Event,Abyss,Sentinels,G2 Esports,7,13,5,10,"Sova,Omen,Jett,Astra,KAY/O","Breach,Sova,Yoru,Astra,Chamber"
Champions Tour 2025: Americas Kickoff - Main Event,Haven,LOUD,KRÜ Esports,11,13,3,4,"Breach,Cypher,Sova,Omen,Jett","Breach,Cypher,Sova,Omen,Jett"
Champions Tour 2025: Americas Kickoff - Main Event,Bind,LOUD,KRÜ Esports,5,13,3,4,"Raze,Brimstone,Skye,KAY/O,Deadlock","Raze,Viper,Brimstone,Skye,Vyse"
Champions Tour 2025: Americas Kickoff - Main Event,Split,Leviatán,MIBR,12,14,7,8,"Raze,Cypher,Viper,Omen,Skye","Raze,Viper,Jett,Skye,Astra"
Champions Tour 2025: Americas Kickoff - Main Event,Pearl,Leviatán,MIBR,9,13,6,7,"Sova,Phoenix,Jett,Astra,Vyse","Sova,Killjoy,Jett,Astra,KAY/O"
Champions Tour 2025: Americas Kickoff - Main Event,Lotus,Leviatán,MIBR,13,7,7,6,"Raze,Killjoy,Viper,Omen,Fade","Breach,Raze,Cypher,Omen,Fade"
Champions Tour 2025: Pacific Kickoff - Main Event,Lotus,Gen.G Esports,DetonatioN FocusMe,13,6,5,4,"Raze,Killjoy,Viper,Omen,Fade","Raze,Omen,Astra,Fade,Vyse"
Champions Tour 2025: Pacific Kickoff - Main Event,Abyss,Gen.G Esports,DetonatioN FocusMe,13,6,9,3,"Cypher,Sova,Omen,Jett,KAY/O","Sova,Omen,Jett,Astra,KAY/O"
Champions Tour 2025: Pacific Kickoff - Main Event,Split,TALON,Nongshim RedForce,13,5,5,4,"Raze,Cypher,Skye,Astra,Deadlock","Breach,Cypher,Astra,Neon,Tejo"
Champions Tour 2025: Pacific Kickoff - Main Event,Bind,TALON,Nongshim RedForce,13,10,9,7,"Raze,Astra,Fade,Gekko,Deadlock","Viper,Brimstone,Neon,Fade,Vyse"
Champions Tour 2025: Pacific Kickoff - Main Event,Lotus,TALON,Nongshim RedForce,9,13,5,6,"Raze,Omen,Fade,Deadlock,Clove","Omen,Astra,Neon,Fade,Vyse"
Champions Tour 2025: Americas Kickoff - Main Event,Bind,NRG Esports,KRÜ Esports,7,13,4,5,"Raze,Viper,Brimstone,KAY/O,Fade","Raze,Viper,Brimstone,Skye,Vyse"
Champions Tour 2025: Americas Kickoff - Main Event,Haven,NRG Esports,KRÜ Esports,13,10,4,2,"Breach,Cypher,Sova,Omen,Neon","Breach,Cypher,Sova,Omen,Jett"
Champions Tour 2025: Americas Kickoff - Main Event,Abyss,NRG Esports,KRÜ Esports,8,13,7,8,"Sova,Omen,Yoru,Harbor,Vyse","Sova,Viper,Jett,Astra,KAY/O"
Champions Tour 2025: Americas Kickoff - Main Event,Split,Evil Geniuses,MIBR,3,13,2,3,"Raze,Viper,Omen,Skye,Chamber","Raze,Viper,Jett,Skye,Astra"
Champions Tour 2025: Americas Kickoff - Main Event,Abyss,Evil Geniuses,MIBR,10,13,6,7,"Sova,Omen,Jett,Astra,Vyse","Cypher,Sova,Jett,Astra,KAY/O"
Champions Tour 2025: Pacific Kickoff - Main Event,Pearl,DetonatioN FocusMe,Paper Rex,13,1,11,0,"Killjoy,Jett,Astra,KAY/O,Tejo","Sova,Killjoy,Phoenix,Jett,Astra"
Champions Tour 2025: Pacific Kickoff - Main Event,Abyss,DetonatioN FocusMe,Paper Rex,13,10,6,5,"Sova,Omen,Jett,Astra,KAY/O","Cypher,Sova,Omen,Jett,KAY/O"
Champions Tour 2025: Pacific Kickoff - Main Event,Pearl,Nongshim RedForce,Rex Regum Qeon,13,8,7,6,"Sova,Astra,Neon,Vyse,Tejo","Sova,Phoenix,Jett,Astra,Vyse"
Champions Tour 2025: Pacific Kickoff - Main Event,Lotus,Nongshim RedForce,Rex Regum Qeon,22,20,11,10,"Omen,Astra,Neon,Fade,Vyse","Raze,Viper,Omen,Fade,Vyse"
Champions Tour 2025: Pacific Kickoff - Main Event,Fracture,Nongshim RedForce,Rex Regum Qeon,12,14,6,7,"Breach,Raze,Cypher,Brimstone,Tejo","Breach,Sova,Killjoy,Brimstone,Neon"
Champions Tour 2025: Americas Kickoff - Main Event,Fracture,G2 Esports,Leviatán,13,9,8,5,"Breach,Raze,Brimstone,Vyse,Tejo","Breach,Raze,Sova,Killjoy,Brimstone"
Champions Tour 2025: Americas Kickoff - Main Event,Pearl,G2 Esports,Leviatán,13,5,8,1,"Sova,Yoru,Astra,Chamber,Vyse","Yoru,Astra,Fade,Vyse,Tejo"
Champions Tour 2025: Americas Kickoff - Main Event,Split,LOUD,Sentinels,9,13,3,6,"Breach,Raze,Cypher,Skye,Astra","Breach,Viper,Omen,Yoru,Tejo"
Champions Tour 2025: Americas Kickoff - Main Event,Pearl,LOUD,Sentinels,11,13,7,8,"Cypher,Sova,Jett,Astra,KAY/O","Yoru,Astra,Fade,Vyse,Tejo"
Champions Tour 2025: Americas Kickoff - Main Event,Lotus,LOUD,Sentinels,13,11,6,5,"Breach,Raze,Cypher,Omen,Fade","Breach,Omen,Yoru,Vyse,Tejo"
Champions Tour 2025: EMEA Kickoff - Main Event,Split,BBL Esports,Team Liquid,10,13,4,6,"Raze,Omen,Yoru,Astra,Fade","Raze,Viper,Yoru,Astra,Fade"
Champions Tour 2025: EMEA Kickoff - Main Event,Pearl,BBL Esports,Team Liquid,13,9,9,6,"Sova,Yoru,Astra,Chamber,Vyse","Breach,Jett,Astra,Vyse,Tejo"
