Event Name,Map Name,Team 1 Name,Team 2 Name,Team 1 Score,Team 2 Score,Team 1 Attacking Wins,Team 2 Attacking Wins,Team 1 Agents,Team 2 Agents
Champions Tour 2025: EMEA Kickoff - Main Event,Bind,BBL Esports,Team Liquid,11,13,7,8,"Raze,Sage,Astra,Vyse,Tejo","Raze,Viper,Brimstone,Skye,Gekko"
Champions Tour 2025: EMEA Kickoff - Main Event,Fracture,FUT Esports,FNATIC,13,6,6,0,"Breach,Cypher,Astra,KAY/O,Neon","Breach,Raze,Sova,Brimstone,Chamber"
Champions Tour 2025: EMEA Kickoff - Main Event,Abyss,FUT Esports,FNATIC,13,10,8,7,"Sova,Yoru,Astra,Fade,Vyse","Breach,Sova,Jett,Yoru,Astra"
Champions Tour 2025: Pacific Kickoff - Main Event,Bind,Gen.G Esports,DRX,13,15,5,6,"Raze,Viper,Brimstone,Fade,Gekko","Raze,Viper,Brimstone,KAY/O,Tejo"
Champions Tour 2025: Pacific Kickoff - Main Event,Abyss,Gen.G Esports,DRX,9,13,6,9,"Cypher,Sova,Omen,Jett,KAY/O","Cypher,Sova,Jett,Astra,Tejo"
Champions Tour 2025: Pacific Kickoff - Main Event,Haven,T1,TALON,13,9,8,5,"Cypher,Sova,Omen,Yoru,Iso","Breach,Cypher,Sova,Omen,Jett"
Champions Tour 2025: Pacific Kickoff - Main Event,Bind,T1,TALON,4,13,3,4,"Raze,Brimstone,KAY/O,Gekko,Vyse","Raze,Astra,Fade,Gekko,Deadlock"
Champions Tour 2025: Pacific Kickoff - Main Event,Fracture,T1,TALON,13,5,3,2,"Breach,Raze,Cypher,Brimstone,Tejo","Breach,Raze,Brimstone,Deadlock,Tejo"
Champions Tour 2025: EMEA Kickoff - Main Event,Split,GIANTX,Team Liquid,6,13,2,8,"Raze,Viper,Omen,Skye,Vyse","Raze,Viper,Yoru,Astra,Fade"
Champions Tour 2025: EMEA Kickoff - Main Event,Fracture,GIANTX,Team Liquid,8,13,4,8,"Breach,Raze,Killjoy,Brimstone,Fade","Breach,Raze,Cypher,Brimstone,Tejo"
Champions Tour 2025: EMEA Kickoff - Main Event,Fracture,Gentle Mates,FNATIC,6,13,1,7,"Breach,Raze,Cypher,Brimstone,Fade","Breach,Raze,Sova,Brimstone,Chamber"
Champions Tour 2025: EMEA Kickoff - Main Event,Abyss,Gentle Mates,FNATIC,5,13,4,11,"Sova,Omen,Jett,Yoru,Astra","Breach,Sova,Jett,Yoru,Astra"
Champions Tour 2025: EMEA Kickoff - Main Event,Split,FUT Esports,Team Vitality,4,13,1,2,"Breach,Raze,Cypher,Astra,Fade","Breach,Raze,Viper,Omen,Fade"
Champions Tour 2025: EMEA Kickoff - Main Event,Bind,FUT Esports,Team Vitality,7,13,4,9,"Raze,Viper,Brimstone,KAY/O,Tejo","Raze,Viper,Brimstone,Skye,Tejo"
Champions Tour 2025: EMEA Kickoff - Main Event,Lotus,BBL Esports,Team Heretics,7,13,3,8,"Breach,Raze,Cypher,Omen,Fade","Raze,Killjoy,Omen,Astra,Fade"
Champions Tour 2025: EMEA Kickoff - Main Event,Pearl,BBL Esports,Team Heretics,11,13,7,8,"Sova,Yoru,Astra,Chamber,Vyse","Killjoy,Jett,Astra,KAY/O,Tejo"
Champions Tour 2025: Pacific Kickoff - Main Event,Split,Global Esports,DetonatioN FocusMe,12,14,6,7,"Raze,Cypher,Astra,Fade,Deadlock","Raze,Cypher,Omen,Skye,Vyse"
Champions Tour 2025: Pacific Kickoff - Main Event,Abyss,Global Esports,DetonatioN FocusMe,8,13,6,10,"Breach,Sova,Jett,Astra,Chamber","Sova,Omen,Jett,Astra,KAY/O"
Champions Tour 2025: Pacific Kickoff - Main Event,Haven,Rex Regum Qeon,Team Secret,13,4,8,0,"Breach,Sova,Killjoy,Omen,Jett","Breach,Sova,Killjoy,Omen,Jett"
Champions Tour 2025: Pacific Kickoff - Main Event,Pearl,Rex Regum Qeon,Team Secret,13,4,11,3,"Sova,Phoenix,Jett,Astra,Vyse","Sova,Killjoy,Jett,Astra,KAY/O"
Champions Tour 2025: Pacific Kickoff - Main Event,Lotus,Rex Regum Qeon,Team Secret,9,13,5,8,"Raze,Viper,Omen,Fade,Vyse","Raze,Viper,Omen,Fade,Vyse"
Champions Tour 2025: Pacific Kickoff - Main Event,Fracture,Paper Rex,ZETA DIVISION,13,8,7,6,"Breach,Raze,Killjoy,Brimstone,Skye","Breach,Brimstone,Chamber,Neon,Tejo"
Champions Tour 2025: Pacific Kickoff - Main Event,Lotus,Paper Rex,ZETA DIVISION,13,5,8,1,"Raze,Omen,Jett,Skye,Vyse","Breach,Cypher,Omen,Neon,Fade"
Champions Tour 2025: Pacific Kickoff - Main Event,Lotus,Nongshim RedForce,BOOM Esports,13,9,6,3,"Viper,Omen,Neon,Fade,Vyse","Raze,Killjoy,Viper,Omen,Fade"
Champions Tour 2025: Pacific Kickoff - Main Event,Bind,Nongshim RedForce,BOOM Esports,7,13,6,7,"Raze,Brimstone,Fade,Deadlock,Vyse","Raze,Brimstone,KAY/O,Fade,Vyse"
Champions Tour 2025: Pacific Kickoff - Main Event,Pearl,Nongshim RedForce,BOOM Esports,13,3,4,3,"Sova,Killjoy,Astra,Neon,Vyse","Killjoy,Astra,KAY/O,Neon,Fade"
Champions Tour 2025: Pacific Kickoff - Main Event,Haven,Gen.G Esports,Rex Regum Qeon,14,12,7,6,"Sova,Killjoy,Viper,Omen,Neon","Breach,Sova,Killjoy,Omen,Jett"
Champions Tour 2025: Pacific Kickoff - Main Event,Lotus,Gen.G Esports,Rex Regum Qeon,13,8,5,1,"Raze,Killjoy,Viper,Omen,Fade","Raze,Viper,Omen,Fade,Vyse"
Champions Tour 2025: Pacific Kickoff - Main Event,Fracture,Gen.G Esports,Rex Regum Qeon,6,13,1,2,"Breach,Raze,Sova,Killjoy,Brimstone","Breach,Sova,Killjoy,Brimstone,Neon"
Champions Tour 2025: Pacific Kickoff - Main Event,Lotus,TALON,Global Esports,13,8,7,3,"Raze,Omen,Fade,Deadlock,Clove","Astra,Chamber,Deadlock,Vyse,Tejo"
Champions Tour 2025: Pacific Kickoff - Main Event,Abyss,TALON,Global Esports,13,9,6,3,"Sova,Viper,Astra,Neon,Deadlock","Breach,Sova,Jett,Astra,Chamber"
Champions Tour 2025: Pacific Kickoff - Main Event,Split,TALON,Global Esports,6,13,2,3,"Breach,Raze,Yoru,Astra,Tejo","Raze,Cypher,Astra,Fade,Deadlock"
Champions Tour 2025: Americas Kickoff - Main Event,Bind,100 Thieves,NRG Esports,9,13,6,7,"Raze,Viper,Brimstone,Fade,Gekko","Raze,Viper,Brimstone,KAY/O,Fade"
Champions Tour 2025: Americas Kickoff - Main Event,Pearl,100 Thieves,NRG Esports,9,13,4,7,"Jett,Astra,KAY/O,Fade,Vyse","Breach,Jett,Astra,Vyse,Tejo"
Champions Tour 2025: Americas Kickoff - Main Event,Lotus,100 Thieves,NRG Esports,14,12,7,6,"Breach,Omen,Neon,Fade,Clove","Breach,Raze,Omen,Vyse,Tejo"
Champions Tour 2025: Americas Kickoff - Main Event,Split,KRÜ Esports,2Game Esports,13,2,10,0,"Raze,Cypher,Viper,Omen,Skye","Breach,Viper,Omen,Yoru,Tejo"
Champions Tour 2025: Americas Kickoff - Main Event,Abyss,KRÜ Esports,2Game Esports,13,3,10,1,"Sova,Viper,Jett,Astra,KAY/O","Sova,Omen,Jett,Yoru,Astra"
Champions Tour 2025: EMEA Kickoff - Main Event,Pearl,Gentle Mates,KOI,13,6,5,4,"Sova,Killjoy,Jett,Astra,KAY/O","Killjoy,Omen,Yoru,Vyse,Tejo"
Champions Tour 2025: EMEA Kickoff - Main Event,Lotus,Gentle Mates,KOI,7,13,4,9,"Breach,Cypher,Omen,Yoru,Tejo","Cypher,Omen,Yoru,Vyse,Tejo"
Champions Tour 2025: EMEA Kickoff - Main Event,Haven,Gentle Mates,KOI,13,3,3,2,"Breach,Cypher,Sova,Omen,Neon","Breach,Cypher,Omen,Jett,Tejo"
Champions Tour 2025: EMEA Kickoff - Main Event,Haven,Team Liquid,Apeks,13,6,4,3,"Breach,Cypher,Omen,Jett,Tejo","Breach,Sova,Killjoy,Omen,Jett"
Champions Tour 2025: EMEA Kickoff - Main Event,Pearl,Team Liquid,Apeks,11,13,3,4,"Cypher,Sova,Jett,Astra,KAY/O","Sova,Killjoy,Phoenix,Yoru,Astra"
Champions Tour 2025: EMEA Kickoff - Main Event,Abyss,Team Liquid,Apeks,13,9,7,6,"Cypher,Sova,Omen,Jett,KAY/O","Cypher,Sova,Jett,Astra,KAY/O"
Champions Tour 2025: Americas Kickoff - Main Event,Pearl,Cloud9,MIBR,7,13,3,8,"Cypher,Yoru,Astra,Fade,Tejo","Sova,Killjoy,Jett,Astra,KAY/O"
Champions Tour 2025: Americas Kickoff - Main Event,Abyss,Cloud9,MIBR,10,13,8,10,"Sova,Omen,Jett,Astra,KAY/O","Cypher,Sova,Jett,Astra,KAY/O"
Champions Tour 2025: Americas Kickoff - Main Event,Lotus,Cloud9,MIBR,13,7,6,1,"Breach,Raze,Omen,Deadlock,Tejo","Raze,Viper,Omen,Fade,Vyse"
Champions Tour 2025: Americas Kickoff - Main Event,Fracture,FURIA,Evil Geniuses,7,13,5,10,"Breach,Raze,Cypher,Brimstone,Sage","Breach,Raze,Killjoy,Brimstone,Tejo"
Champions Tour 2025: EMEA Kickoff - Main Event,Haven,FNATIC,Natus Vincere,15,13,6,5,"Cypher,Sova,Omen,Yoru,Iso","Breach,Cypher,Sova,Omen,Yoru"
Champions Tour 2025: Americas Kickoff - Main Event,Abyss,FURIA,Evil Geniuses,7,13,5,6,"Cypher,Sova,Omen,Jett,KAY/O","Sova,Omen,Jett,Astra,Vyse"
Champions Tour 2025: EMEA Kickoff - Main Event,Fracture,FNATIC,Natus Vincere,8,13,2,6,"Breach,Raze,Sova,Brimstone,Chamber","Breach,Raze,Cypher,Brimstone,Fade"
Champions Tour 2025: EMEA Kickoff - Main Event,Pearl,FNATIC,Natus Vincere,13,9,9,6,"Sova,Killjoy,Yoru,Astra,Tejo","Sova,Killjoy,Jett,Astra,KAY/O"
Champions Tour 2025: EMEA Kickoff - Main Event,Fracture,Karmine Corp,GIANTX,10,13,6,8,"Breach,Cypher,Yoru,Astra,Tejo","Breach,Raze,Killjoy,Brimstone,Fade"
Champions Tour 2025: EMEA Kickoff - Main Event,Lotus,Karmine Corp,GIANTX,8,13,5,6,"Omen,Yoru,Fade,Harbor,Vyse","Raze,Viper,Omen,Fade,Vyse"
Champions Tour 2025: EMEA Kickoff - Main Event,Bind,Karmine Corp,GIANTX,14,12,8,7,"Yoru,Astra,Gekko,Deadlock,Vyse","Raze,Viper,Astra,Fade,Gekko"
Champions Tour 2025: EMEA Kickoff - Main Event,Pearl,Team Heretics,Gentle Mates,13,8,4,3,"Killjoy,Jett,Astra,KAY/O,Tejo","Sova,Killjoy,Jett,Astra,KAY/O"
Champions Tour 2025: EMEA Kickoff - Main Event,Fracture,Team Heretics,Gentle Mates,13,3,2,1,"Raze,Cypher,Skye,Astra,Tejo","Breach,Raze,Cypher,Brimstone,Fade"
Champions Tour 2025: EMEA Kickoff - Main Event,Abyss,Team Heretics,Gentle Mates,4,13,3,4,"Cypher,Sova,Jett,Astra,KAY/O","Sova,Omen,Jett,Yoru,Astra"
Champions Tour 2025: EMEA Kickoff - Main Event,Fracture,FUT Esports,Team Liquid,13,6,9,3,"Breach,Raze,Cypher,Astra,KAY/O","Breach,Cypher,Brimstone,Sage,Gekko"
Champions Tour 2025: EMEA Kickoff - Main Event,Pearl,FUT Esports,Team Liquid,13,7,4,3,"Cypher,Yoru,Astra,Fade,Tejo","Cypher,Sova,Jett,Astra,KAY/O"
Champions Tour 2025: Pacific Kickoff - Main Event,Split,Paper Rex,T1,11,13,5,6,"Raze,Sage,Omen,Jett,Skye","Raze,Viper,Omen,Skye,Chamber"
Champions Tour 2025: Pacific Kickoff - Main Event,Fracture,Paper Rex,T1,13,8,8,7,"Breach,Raze,Killjoy,Brimstone,Tejo","Breach,Raze,Killjoy,Brimstone,Neon"
Champions Tour 2025: Pacific Kickoff - Main Event,Bind,Paper Rex,T1,6,13,3,9,"Raze,Brimstone,Fade,Deadlock,Clove","Raze,Brimstone,KAY/O,Gekko,Vyse"
Champions Tour 2025: Pacific Kickoff - Main Event,Fracture,DRX,Nongshim RedForce,13,9,7,6,"Breach,Raze,Killjoy,Brimstone,Tejo","Breach,Killjoy,Brimstone,Neon,Tejo"
Champions Tour 2025: Pacific Kickoff - Main Event,Pearl,DRX,Nongshim RedForce,6,13,2,8,"Sova,Killjoy,Jett,Astra,Tejo","Killjoy,Skye,Astra,Neon,Vyse"
Champions Tour 2025: Pacific Kickoff - Main Event,Lotus,DRX,Nongshim RedForce,13,11,7,6,"Raze,Viper,Omen,Fade,Tejo","Cypher,Viper,Omen,Neon,Fade"
Champions Tour 2025: Americas Kickoff - Main Event,Abyss,G2 Esports,Cloud9,13,8,4,3,"Breach,Sova,Yoru,Astra,Chamber","Sova,Omen,Jett,Astra,KAY/O"
Champions Tour 2025: Americas Kickoff - Main Event,Lotus,G2 Esports,Cloud9,13,6,5,4,"Breach,Viper,Omen,Yoru,Tejo","Breach,Raze,Omen,Deadlock,Tejo"
Champions Tour 2025: Americas Kickoff - Main Event,Split,Leviatán,FURIA,13,6,9,3,"Raze,Cypher,Viper,Omen,Skye","Raze,Viper,Sage,Omen,Skye"
Champions Tour 2025: Americas Kickoff - Main Event,Haven,Leviatán,FURIA,13,8,9,5,"Breach,Cypher,Sova,Omen,Jett","Breach,Cypher,Sova,Omen,Jett"
Champions Tour 2025: Pacific Kickoff - Main Event,Haven,DetonatioN FocusMe,Rex Regum Qeon,3,13,1,10,"Breach,Cypher,Sova,Omen,Neon","Breach,Sova,Killjoy,Omen,Jett"
Champions Tour 2025: Pacific Kickoff - Main Event,Pearl,DetonatioN FocusMe,Rex Regum Qeon,3,13,2,11,"Sova,Killjoy,Yoru,Astra,Iso","Sova,Phoenix,Jett,Astra,Vyse"
Champions Tour 2025: Pacific Kickoff - Main Event,Abyss,DetonatioN FocusMe,Rex Regum Qeon,14,12,7,6,"Sova,Omen,Jett,Astra,KAY/O","Sova,Omen,Jett,Astra,KAY/O"
Champions Tour 2025: Pacific Kickoff - Main Event,Pearl,Global Esports,Team Secret,13,6,8,2,"Sova,Killjoy,Jett,Astra,Vyse","Sova,Killjoy,Jett,Astra,KAY/O"
Champions Tour 2025: Pacific Kickoff - Main Event,Split,Global Esports,Team Secret,13,7,8,3,"Raze,Cypher,Astra,Fade,Deadlock","Raze,Cypher,Skye,Astra,Deadlock"
Champions Tour 2025: Pacific Kickoff - Main Event,Abyss,Global Esports,Team Secret,3,13,0,9,"Sova,Omen,Jett,Astra,KAY/O","Cypher,Sova,Omen,Jett,KAY/O"
Champions Tour 2025: Americas Kickoff - Main Event,Pearl,Sentinels,100 Thieves,13,9,7,6,"Yoru,Astra,Fade,Vyse,Tejo","Killjoy,Jett,Astra,KAY/O,Fade"
Champions Tour 2025: Americas Kickoff - Main Event,Bind,Sentinels,100 Thieves,13,9,7,4,"Raze,Viper,Brimstone,Gekko,Tejo","Raze,Viper,Brimstone,Fade,Gekko"
Champions Tour 2025: Americas Kickoff - Main Event,Split,Sentinels,100 Thieves,4,13,4,5,"Breach,Viper,Omen,Yoru,Tejo","Breach,Raze,Sage,Astra,Tejo"
Champions Tour 2025: Americas Kickoff - Main Event,Split,KRÜ Esports,LOUD,10,13,6,7,"Raze,Cypher,Viper,Omen,Skye","Breach,Raze,Cypher,Astra,Tejo"
Champions Tour 2025: Americas Kickoff - Main Event,Haven,KRÜ Esports,LOUD,7,13,2,3,"Breach,Cypher,Sova,Omen,Jett","Breach,Cypher,Sova,Omen,Jett"
Champions Tour 2025: Pacific Kickoff - Main Event,Haven,ZETA DIVISION,Nongshim RedForce,9,13,5,8,"Breach,Cypher,Sova,Omen,Neon","Breach,Cypher,Sova,Omen,Neon"
Champions Tour 2025: Pacific Kickoff - Main Event,Split,ZETA DIVISION,Nongshim RedForce,9,13,2,5,"Breach,Raze,Cypher,Omen,Fade","Cypher,Astra,KAY/O,Neon,Fade"
Champions Tour 2025: Pacific Kickoff - Main Event,Fracture,BOOM Esports,T1,7,13,2,7,"Breach,Cypher,Brimstone,Neon,Tejo","Breach,Raze,Killjoy,Brimstone,Neon"
Champions Tour 2025: Pacific Kickoff - Main Event,Bind,BOOM Esports,T1,13,8,4,3,"Raze,Brimstone,KAY/O,Fade,Vyse","Raze,Brimstone,KAY/O,Gekko,Vyse"
Champions Tour 2025: Pacific Kickoff - Main Event,Pearl,BOOM Esports,T1,11,13,4,5,"Killjoy,Astra,KAY/O,Neon,Fade","Sova,Killjoy,Yoru,Astra,Neon"
Champions Tour 2025: Americas Kickoff - Main Event,Lotus,NRG Esports,Cloud9,10,13,6,7,"Raze,Viper,Omen,Fade,Vyse","Breach,Raze,Omen,Deadlock,Tejo"
Champions Tour 2025: Americas Kickoff - Main Event,Fracture,NRG Esports,Cloud9,12,14,10,11,"Breach,Raze,Sova,Killjoy,Brimstone","Raze,Killjoy,Brimstone,Clove,Tejo"
Champions Tour 2025: Americas Kickoff - Main Event,Lotus,2Game Esports,FURIA,5,13,4,5,"Breach,Raze,Omen,Vyse,Tejo","Breach,Raze,Omen,Vyse,Tejo"
Champions Tour 2025: EMEA Kickoff - Main Event,Abyss,Team Vitality,Karmine Corp,17,15,11,10,"Breach,Sova,Jett,Astra,Tejo","Yoru,Astra,Fade,Harbor,Vyse"
Champions Tour 2025: Americas Kickoff - Main Event,Haven,2Game Esports,FURIA,7,13,2,7,"Breach,Omen,Yoru,Vyse,Tejo","Breach,Cypher,Jett,Clove,Tejo"
Champions Tour 2025: EMEA Kickoff - Main Event,Bind,Team Vitality,Karmine Corp,9,13,4,7,"Raze,Viper,Brimstone,Skye,Tejo","Yoru,Astra,Gekko,Deadlock,Vyse"
Champions Tour 2025: EMEA Kickoff - Main Event,Haven,Team Vitality,Karmine Corp,13,5,5,4,"Cypher,Sova,Omen,Yoru,Iso","Killjoy,Omen,Yoru,Fade,Harbor"
Champions Tour 2025: EMEA Kickoff - Main Event,Split,FNATIC,BBL Esports,10,13,9,10,"Breach,Raze,Cypher,Omen,Yoru","Raze,Omen,Yoru,Astra,Fade"
Champions Tour 2025: EMEA Kickoff - Main Event,Fracture,FNATIC,BBL Esports,13,8,5,4,"Breach,Raze,Sova,Brimstone,Chamber","Breach,Raze,Cypher,Yoru,Astra"
Champions Tour 2025: EMEA Kickoff - Main Event,Abyss,FNATIC,BBL Esports,8,13,3,4,"Sova,Omen,Yoru,Astra,Tejo","Breach,Sova,Sage,Yoru,Astra"
Champions Tour 2025: Americas Kickoff - Main Event,Bind,MIBR,100 Thieves,9,13,8,9,"Raze,Cypher,Brimstone,Skye,Deadlock","Raze,Viper,Brimstone,Fade,Gekko"
Champions Tour 2025: Americas Kickoff - Main Event,Lotus,MIBR,100 Thieves,4,13,2,10,"Breach,Raze,Killjoy,Omen,Tejo","Breach,Omen,Neon,Fade,Clove"
Champions Tour 2025: Americas Kickoff - Main Event,Pearl,Evil Geniuses,LOUD,10,13,4,6,"Sova,Phoenix,Jett,Astra,Vyse","Cypher,Sova,Jett,Astra,KAY/O"
Champions Tour 2025: Americas Kickoff - Main Event,Split,Evil Geniuses,LOUD,12,14,4,5,"Raze,Viper,Omen,Skye,Chamber","Breach,Raze,Cypher,Astra,Tejo"
Champions Tour 2025: EMEA Kickoff - Main Event,Haven,Apeks,Gentle Mates,12,14,9,10,"Breach,Sova,Killjoy,Omen,Jett","Breach,Cypher,Sova,Omen,Neon"
Champions Tour 2025: EMEA Kickoff - Main Event,Pearl,Apeks,Gentle Mates,7,13,6,7,"Killjoy,Jett,Astra,KAY/O,Fade","Sova,Killjoy,Jett,Astra,KAY/O"
Champions Tour 2025: EMEA Kickoff - Main Event,Bind,Team Liquid,KOI,13,10,7,6,"Raze,Viper,Brimstone,Skye,Gekko","Raze,Viper,Astra,KAY/O,Tejo"
Champions Tour 2025: EMEA Kickoff - Main Event,Abyss,Team Liquid,KOI,13,3,11,2,"Cypher,Sova,Omen,Jett,KAY/O","Cypher,Sova,Jett,Astra,KAY/O"
Champions Tour 2025: EMEA Kickoff - Main Event,Fracture,Team Liquid,KOI,10,13,5,6,"Breach,Cypher,Brimstone,Sage,Gekko","Killjoy,Brimstone,Yoru,Vyse,Tejo"
Champions Tour 2025: EMEA Kickoff - Main Event,Lotus,Karmine Corp,Natus Vincere,13,6,7,1,"Omen,Yoru,Fade,Harbor,Vyse","Sage,Omen,Astra,Vyse,Tejo"
Champions Tour 2025: EMEA Kickoff - Main Event,Bind,Karmine Corp,Natus Vincere,13,2,10,0,"Yoru,Astra,Gekko,Deadlock,Vyse","Raze,Brimstone,KAY/O,Gekko,Vyse"
Champions Tour 2025: EMEA Kickoff - Main Event,Abyss,Karmine Corp,Natus Vincere,10,13,7,8,"Yoru,Astra,Fade,Harbor,Vyse","Sova,Omen,Jett,Astra,KAY/O"
Champions Tour 2025: EMEA Kickoff - Main Event,Pearl,BBL Esports,GIANTX,13,5,7,0,"Sova,Yoru,Astra,Chamber,Vyse","Sova,Killjoy,Jett,Astra,KAY/O"
Champions Tour 2025: EMEA Kickoff - Main Event,Haven,BBL Esports,GIANTX,12,14,5,6,"Breach,Cypher,Sova,Omen,Jett","Breach,Sova,Killjoy,Omen,Jett"
Champions Tour 2025: EMEA Kickoff - Main Event,Lotus,BBL Esports,GIANTX,13,9,7,6,"Breach,Raze,Cypher,Omen,Fade","Raze,Viper,Omen,Fade,Vyse"
